University,latitude,longitude,Student population
Uppsala University,59.8509,17.6300,18347
Lund University,55.7119,13.2035,23539
University of Gothenburg,57.6982,11.9719,21121
Stockholm University,59.3622,18.0578,22434
Karolinska Institutet,59.3481,18.0237,5641
Umeå University,63.8202,20.3054,13389
KTH Royal Institute of Technology,59.3499,18.0697,10544
Linköping University,58.3978,15.5760,15252
Swedish University of Agricultural Sciences,59.8150,17.6629,3515
Luleå University of Technology,65.6180,22.1402,6509
Karlstad University,59.4064,13.5826,6717
Örebro University,59.2548,15.2493,7581
Mid Sweden University,62.3935,17.2834,5946
Linnaeus University,56.8545,14.8300,11663
Malmö University,55.6088,12.9946,24
Jönköping University,57.7826,14.1618,11500
